1回目
経路長：35691.49071
i: 0, length:35663.84105 , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:13.59179
i: 1, length:35649.28025 , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:50.11227
i: 2, length:35587.52932 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:93.96562
i: 3, length:35565.69732 , tours_all_len:10,            num_True:5,            num_already_baseline:5            lap_time:133.36102
i: 4, length:35545.46187 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:172.76725
i: 5, length:35542.9662  , tours_all_len:10,            num_True:6,            num_already_baseline:9            lap_time:209.64020
i: 6, length:35542.9662  , tours_all_len:10,            num_True:9,            num_already_baseline:10            lap_time:247.66114
i: 7, length:35500.82093 , tours_all_len:10,            num_True:6,            num_already_baseline:6            lap_time:284.75031
i: 8, length:35482.32069 , tours_all_len:10,            num_True:4,            num_already_baseline:5            lap_time:320.93262
i: 9, length:35474.89171 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:358.35323
i:10, length:35466.11524 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:394.30482
i:11, length:35466.11524 , tours_all_len:10,            num_True:8,            num_already_baseline:10            lap_time:430.54744
i:12, length:35453.68883 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:465.88876
i:13, length:35444.11187 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:501.22570
i:14, length:35444.11187 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:537.30333
i:15, length:35416.78405 , tours_all_len:10,            num_True:5,            num_already_baseline:5            lap_time:574.66111
i:16, length:35416.78405 , tours_all_len:10,            num_True:9,            num_already_baseline:10            lap_time:610.34379
i:17, length:35396.53827 , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:646.25826
i:18, length:35396.53827 , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:682.60218
i:19, length:35393.56961 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:717.44930
i:20, length:35375.02859 , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:754.27582
i:21, length:35375.02859 , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:789.43393
i:22, length:35366.24179 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:825.39880
i:23, length:35366.24179 , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:861.17928
i:24, length:35366.24179 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:896.91542
i:25, length:35366.24179 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:932.08428
i:26, length:35255.80728 , tours_all_len:10,            num_True:6,            num_already_baseline:6            lap_time:966.89962
i:27, length:35255.80728 , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:1003.38257
i:28, length:35243.38087 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1039.62669
i:29, length:35243.38087 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:1076.23989
i:30, length:35230.95446 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1112.74227
i:31, length:35230.95446 , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:1147.85490
i:32, length:35230.95446 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1184.36584
i:33, length:35230.95446 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1219.17069
i:34, length:35230.95446 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1256.58172
i:35, length:35230.95446 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1292.70578
i:36, length:35230.95446 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1328.81406
i:37, length:35230.95446 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1370.27985
i:38, length:35227.17542 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1414.35233
i:39, length:35227.17542 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1458.91681
i:40, length:35218.19806 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1503.03435
i:41, length:35218.19806 , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:1546.97119
i:42, length:35203.53885 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1592.40684
i:43, length:35199.79995 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1637.06974
i:44, length:35199.79995 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1682.67115
i:45, length:35199.79995 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1728.67045
i:46, length:35199.79995 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1774.51513
i:47, length:35199.79995 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1820.48714
i:48, length:35199.79995 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1864.96331
i:49, length:35199.79995 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1909.82348
i:50, length:35186.62238 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:1954.86311
i:51, length:35186.62238 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:2000.75069
i:52, length:35169.38765 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:2046.20208
i:53, length:35169.38765 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:2091.34279
i:54, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2135.56212
i:55, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2181.52342
i:56, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2226.94347
i:57, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2272.34760
i:58, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2317.98320
i:59, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2362.81589
i:60, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2409.64587
i:61, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2454.26160
i:62, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2500.05943
i:63, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2543.68135
i:64, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2590.25258
i:65, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2634.92673
i:66, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2681.94945
i:67, length:35169.38765 , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:2728.87128
i:68, length:35129.51015 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:2775.62689
i:69, length:35129.51015 , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:2821.27002
i:70, length:35121.83021 , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:2864.76730
i:71, length:35115.7156  , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:2908.89009
